Year Published,Retractions
00,182
01,244
02,305
03,331
04,421
05,509
06,605
07,814
08,815
09,1653
10,5315
11,5268
12,1406
13,1573
14,1712
15,2574
16,2210
17,2118
1753,1
18,2879
19,2705
20,3349
21,4583
22,4913
23,266
24,5
26,1
40,1
42,1
51,1
55,1
59,1
62,1
63,1
65,1
66,1
67,3
68,1
70,6
71,1
73,2
74,1
75,7
76,3
77,24
78,8
79,17
80,12
81,18
82,6
83,15
84,17
85,14
86,26
87,18
88,22
89,39
90,63
91,48
92,44
93,47
94,53
95,72
96,85
97,90
98,118
99,141
