Year Retracted,Retractions
00,41
01,37
02,124
03,90
04,127
05,139
06,212
07,329
08,450
09,1183
10,5012
11,4932
12,1153
13,1446
14,1111
15,1544
16,1681
17,1702
1756,1
18,2532
19,2903
20,3071
21,3897
22,5505
23,7207
24,850
27,1
40,1
42,1
60,1
66,1
67,2
68,1
70,7
71,1
75,2
77,31
79,5
80,14
81,3
82,5
83,13
84,8
85,14
86,28
87,12
88,6
89,15
90,19
91,23
92,25
93,28
94,22
95,25
96,26
97,46
98,71
99,51
